txnno,txndate,custno,amount,category,product,city,state,spendby
00050200,03-12-2011,4008674,022.74,Exercise & Fitness,Exercise Balls,Sacramento,California,credit
00050201,12-26-2011,4007477,056.98,Outdoor Recreation,Geocaching,Indianapolis ,Indiana,credit
00050202,11-02-2011,4008088,148.70,Outdoor Recreation,Fishing,Charleston,South Carolina,credit
00050203,02-26-2011,4007500,192.55,Air Sports,Air Suits,Midland,Texas,credit
00050204,09-08-2011,4007593,066.01,Outdoor Recreation,Skating,San Diego,California,credit
00050205,09-23-2011,4004525,139.47,Exercise & Fitness,Weightlifting Gloves,Cincinnati,Ohio,credit
00050206,11-11-2011,4000050,155.50,Exercise & Fitness,Medicine Balls,Salt Lake City,Utah,credit
00050207,12-06-2011,4000830,084.02,Racquet Sports,Tennis,Sacramento,California,credit
00050208,08-03-2011,4006211,145.97,Outdoor Recreation,Ice Climbing,Rockford,Illinois,credit
00050209,01-10-2011,4002786,152.25,Exercise & Fitness,Weightlifting Machines,Long Beach,California,credit
00050210,05-20-2011,4001744,022.62,Exercise & Fitness,Weightlifting Belts,Orlando,Florida,credit
00050211,09-29-2011,4004217,140.04,Exercise & Fitness,Jump Ropes,Philadelphia,Pennsylvania,credit
00050212,10-18-2011,4003706,009.34,Games,Bingo Sets,Boise,Idaho,credit
00050213,08-08-2011,4004196,158.97,Team Sports,Rugby,Coral Springs,Florida,credit
00050214,01-29-2011,4003835,191.67,Winter Sports,Bobsledding,Minneapolis,Minnesota,credit
00050215,10-12-2011,4007966,042.10,Outdoor Recreation,Ice Climbing,Madison,Wisconsin,credit
00050216,01-24-2011,4007669,161.64,Team Sports,Cricket,Saint Paul,Minnesota,credit
00050217,01-29-2011,4008367,052.88,Gymnastics,Gymnastics Rings,Rockford,Illinois,credit
00050218,03-09-2011,4005716,183.13,Games,Dice & Dice Sets,Fremont,California,credit
00050219,02-04-2011,4002487,199.07,Winter Sports,Sledding,Baltimore,Maryland,credit
00050220,04-20-2011,4004562,179.68,Team Sports,Football,Long Beach,California,credit
00050221,05-16-2011,4002790,134.80,Outdoor Play Equipment,Sandboxes,Des Moines,Iowa,credit
00050222,04-19-2011,4009237,025.08,Racquet Sports,Squash,Long Beach,California,credit
00050223,03-28-2011,4006136,125.45,Outdoor Play Equipment,Swing Sets,Pasadena,California,credit
00050224,09-14-2011,4005305,180.95,Water Sports,Towed Water Sports,Philadelphia,Pennsylvania,credit
00050225,12-06-2011,4003990,170.19,Outdoor Play Equipment,Outdoor Playsets,San Antonio,Texas,credit
00050226,02-28-2011,4005828,176.39,Jumping,Bungee Jumping,Nashville  ,Tennessee,credit
00050227,04-24-2011,4009336,075.95,Winter Sports,Downhill Skiing,San Diego,California,credit
00050228,07-28-2011,4008297,199.77,Team Sports,Football,Jersey City,New Jersey,credit
00050229,10-17-2011,4000534,196.96,Outdoor Recreation,Riding Scooters,Green Bay,Wisconsin,credit
00050230,03-28-2011,4002043,071.94,Exercise & Fitness,Free Weights,McKinney,Texas,credit
00050231,07-10-2011,4001673,043.71,Outdoor Recreation,Lawn Games,Gresham,Oregon,credit
00050232,08-10-2011,4006481,076.49,Gymnastics,Springboards,Oklahoma City,Oklahoma,credit
00050233,06-18-2011,4008027,106.75,Outdoor Recreation,Equestrian,Seattle,Washington,credit
00050234,10-04-2011,4004731,035.13,Team Sports,Softball,New Orleans,Louisiana,credit
00050235,08-31-2011,4006735,169.03,Outdoor Recreation,Archery,Fremont,California,credit
00050236,11-10-2011,4008767,188.70,Exercise & Fitness,Weight Benches,Huntsville,Alabama,credit
00050237,06-22-2011,4005336,138.49,Gymnastics,Gymnastics Rings,Scottsdale,Arizona,credit
00050238,12-07-2011,4005661,034.39,Outdoor Recreation,Shooting Games,Jackson,Mississippi,credit
00050239,05-29-2011,4004036,121.74,Outdoor Recreation,Tetherball,Minneapolis,Minnesota,credit
00050240,04-16-2011,4007603,107.20,Indoor Games,Table Shuffleboard,Kansas City,Missouri,credit
00050241,10-29-2011,4001461,038.57,Winter Sports,Sledding,Saint Paul,Minnesota,cash
00050242,12-10-2011,4006728,020.25,Outdoor Play Equipment,Water Tables,St. Petersburg,Florida,cash
00050243,10-25-2011,4009148,193.96,Water Sports,Surfing,Dayton,Ohio,credit
00050244,01-12-2011,4008774,134.28,Outdoor Recreation,Fishing,Nashville  ,Tennessee,credit
00050245,07-12-2011,4006798,062.55,Team Sports,Cheerleading,Oklahoma City,Oklahoma,credit
00050246,11-24-2011,4005999,197.99,Water Sports,Water Polo,McKinney,Texas,credit
00050247,05-22-2011,4005950,076.52,Exercise & Fitness,Jump Ropes,Madison,Wisconsin,credit
00050248,02-08-2011,4006270,037.73,Outdoor Recreation,Riding Scooters,Tampa,Florida,cash
00050249,04-08-2011,4007717,183.99,Winter Sports,Sledding,Miami,Florida,credit
00050250,10-31-2011,4009771,138.14,Air Sports,Hang Gliding,Fremont,California,credit
00050251,09-04-2011,4003986,085.28,Water Sports,Towed Water Sports,Phoenix,Arizona,credit
00050252,03-18-2011,4004475,106.24,Team Sports,Indoor Volleyball,Washington,District of Columbia,credit
00050253,07-22-2011,4007646,185.93,Outdoor Play Equipment,Playhouses,Tampa,Florida,credit
00050254,03-09-2011,4002645,177.61,Gymnastics,Gymnastics Protective Gear,Irvine,California,credit
00050255,10-29-2011,4003629,024.97,Winter Sports,Luge,Irving,Texas,cash
00050256,09-23-2011,4000943,189.72,Outdoor Play Equipment,Sandboxes,Irving,Texas,credit
00050257,09-16-2011,4007086,120.90,Water Sports,Windsurfing,Long Beach,California,credit
00050258,10-12-2011,4006195,153.65,Games,Board Games,McKinney,Texas,credit
00050259,05-14-2011,4007690,170.72,Outdoor Recreation,Camping & Backpacking & Hiking,Lowell,Massachusetts,credit
00050260,11-01-2011,4007925,092.35,Outdoor Recreation,Geocaching,Cincinnati,Ohio,credit
00050261,10-02-2011,4006586,025.20,Gymnastics,Pommel Horses,El Paso,Texas,cash
00050262,09-25-2011,4000271,145.80,Outdoor Recreation,Equestrian,Madison,Wisconsin,credit
00050263,03-12-2011,4001079,158.56,Exercise & Fitness,Cardio Machines,Montgomery,Alabama,credit
00050264,10-04-2011,4005574,111.65,Winter Sports,Snowmobiling,Centennial,Colorado,credit
00050265,08-25-2011,4008336,153.01,Outdoor Recreation,Rock Climbing,Memphis,Tennessee,credit
00050266,11-13-2011,4008329,087.17,Racquet Sports,Badminton,Houston,Texas,credit
00050267,01-29-2011,4009422,198.53,Team Sports,Football,Baltimore,Maryland,credit
00050268,12-18-2011,4008045,043.07,Water Sports,Wetsuits,New York,New York,cash
00050269,03-31-2011,4003119,165.48,Exercise & Fitness,Weightlifting Gloves,Lowell,Massachusetts,credit
00050270,07-31-2011,4005689,071.78,Puzzles,Jigsaw Puzzles,San Francisco,California,credit
00050271,10-17-2011,4009493,054.44,Gymnastics,Pommel Horses,Columbus,Ohio,credit
00050272,12-15-2011,4009501,157.08,Indoor Games,Ping Pong,Jersey City,New Jersey,credit
00050273,01-05-2011,4007519,149.55,Team Sports,Lacrosse,New York,New York,credit
00050274,01-21-2011,4009067,063.28,Exercise & Fitness,Weightlifting Gloves,Charlotte,North Carolina,credit
00050275,11-04-2011,4005159,161.97,Water Sports,Scuba Diving & Snorkeling,Overland Park,Kansas,credit
00050276,11-07-2011,4004876,174.49,Outdoor Play Equipment,Lawn Water Slides,Scottsdale,Arizona,credit
00050277,12-11-2011,4009663,110.51,Indoor Games,Darts,Lincoln,Nebraska,credit
00050278,10-24-2011,4005476,152.45,Games,Poker Chips & Sets,Pasadena,Texas,credit
00050279,08-30-2011,4005994,006.40,Outdoor Recreation,Equestrian,Cincinnati,Ohio,cash
00050280,10-02-2011,4003621,195.36,Team Sports,Cheerleading,Newark,New Jersey,credit
00050281,12-07-2011,4008325,106.41,Indoor Games,Darts,San Antonio,Texas,credit
00050282,06-20-2011,4001977,181.97,Water Sports,Swimming,San Jose,California,credit
00050283,07-05-2011,4000549,063.65,Winter Sports,Snowshoeing,Pasadena,California,credit
00050284,02-09-2011,4006166,067.49,Exercise & Fitness,Jump Ropes,Atlanta,Georgia,credit
00050285,07-31-2011,4008040,191.65,Racquet Sports,Tennis,Philadelphia,Pennsylvania,credit
00050286,05-16-2011,4005601,011.23,Exercise & Fitness,Weightlifting Gloves,Coral Springs,Florida,cash
00050287,06-14-2011,4006332,177.98,Games,Poker Chips & Sets,Jacksonville ,Florida,credit
00050288,12-16-2011,4009766,062.49,Indoor Games,Ping Pong,San Antonio,Texas,credit
00050289,09-14-2011,4001310,095.70,Winter Sports,Sledding,Westminster,Colorado,credit
00050290,07-26-2011,4000934,157.20,Outdoor Recreation,Ice Climbing,Vancouver,Washington,credit
00050291,05-12-2011,4008363,101.28,Team Sports,Lacrosse,Rockford,Illinois,credit
00050292,01-03-2011,4004774,025.48,Team Sports,Rugby,San Jose,California,cash
00050293,08-28-2011,4007152,156.86,Games,Dice Games,Saint Paul,Minnesota,credit
00050294,01-31-2011,4000638,138.63,Games,Card Games,Hartford,Connecticut,credit
00050295,07-16-2011,4001165,058.51,Games,Card Games,Houston,Texas,credit
00050296,11-08-2011,4007062,168.27,Outdoor Recreation,Riding Scooters,Jacksonville ,Florida,credit
00050297,04-17-2011,4001311,049.22,Outdoor Recreation,Archery,Long Beach,California,cash
00050298,03-09-2011,4008150,076.55,Outdoor Play Equipment,Swing Sets,Westminster,Colorado,credit
00050299,04-09-2011,4003804,075.18,Indoor Games,Bowling,Omaha,Nebraska,credit
00050300,09-19-2011,4006397,011.20,Outdoor Play Equipment,Lawn Water Slides,Lexington,Kentucky,credit
00050301,06-24-2011,4000279,174.73,Winter Sports,Snowmobiling,St. Louis  ,Missouri,credit
00050302,07-10-2011,4000708,127.61,Games,Board Games,Atlanta,Georgia,credit
00050303,09-07-2011,4001526,166.82,Outdoor Recreation,Running,Bellevue,Washington,credit
00050304,01-30-2011,4001889,140.15,Exercise & Fitness,Medicine Balls,Lexington,Kentucky,credit
00050305,03-10-2011,4005366,065.21,Water Sports,Water Tubing,Dayton,Ohio,credit
00050306,09-03-2011,4001768,174.04,Outdoor Recreation,Ice Climbing,Cleveland,Ohio,credit
00050307,04-20-2011,4006472,181.61,Games,Board Games,Denton,Texas,credit
00050308,07-11-2011,4005708,112.25,Outdoor Recreation,Track & Field,Cambridge,Massachusetts,credit
00050309,07-14-2011,4001468,092.32,Outdoor Recreation,Lawn Games,Oklahoma City,Oklahoma,credit
00050310,07-23-2011,4001731,005.54,Water Sports,Swimming,West Valley City,Utah,credit
00050311,12-04-2011,4004089,196.05,Dancing,Ballet Bars,Colorado Springs,Colorado,credit
00050312,01-06-2011,4009705,062.58,Team Sports,Baseball,Anaheim,California,credit
00050313,06-30-2011,4007922,026.63,Gymnastics,Gymnastics Bars,Reno,Nevada,credit
00050314,08-24-2011,4004980,092.42,Water Sports,Water Polo,Birmingham,Alabama,credit
00050315,01-31-2011,4001335,139.50,Outdoor Recreation,Geocaching,Buffalo,New York,credit
00050316,05-09-2011,4002376,098.58,Indoor Games,Foosball,Tampa,Florida,credit
00050317,11-11-2011,4007734,049.23,Games,Mahjong,Tampa,Florida,credit
00050318,09-18-2011,4000877,092.97,Exercise & Fitness,Weightlifting Machines,Centennial,Colorado,credit
00050319,07-21-2011,4001639,126.62,Jumping,Bungee Jumping,Columbia,Missouri,credit
00050320,07-24-2011,4005540,144.33,Outdoor Recreation,Hunting,Louisville,Kentucky,credit
00050321,07-04-2011,4008780,097.59,Outdoor Recreation,Skateboarding,Honolulu  ,Hawaii,credit
00050322,01-16-2011,4006518,109.60,Outdoor Recreation,Shooting Games,Columbus,Ohio,credit
00050323,06-26-2011,4006059,082.50,Winter Sports,Luge,Flint,Michigan,credit
00050324,01-31-2011,4009981,168.91,Exercise & Fitness,Exercise Balls,Pasadena,Texas,credit
00050325,03-17-2011,4002667,139.11,Outdoor Recreation,Lawn Games,Minneapolis,Minnesota,credit
00050326,09-16-2011,4001285,133.64,Puzzles,Jigsaw Puzzles,Kansas City,Missouri,credit
00050327,05-20-2011,4008232,158.44,Exercise & Fitness,Foam Rollers,Paterson,New Jersey,credit
00050328,07-03-2011,4008626,155.45,Outdoor Recreation,Equestrian,Montgomery,Alabama,credit
00050329,03-14-2011,4009117,008.75,Indoor Games,Foosball,Oakland,California,credit
00050330,07-12-2011,4008340,027.93,Water Sports,Whitewater Rafting,Oakland,California,credit
00050331,04-13-2011,4006339,066.22,Gymnastics,Gymnastics Mats,Anaheim,California,credit
00050332,07-29-2011,4009414,156.89,Racquet Sports,Squash,Newark,New Jersey,credit
00050333,01-04-2011,4009885,173.75,Games,Dice & Dice Sets,Boston,Massachusetts,credit
00050334,10-06-2011,4005534,048.54,Puzzles,Jigsaw Puzzles,Kansas City,Missouri,credit
00050335,08-27-2011,4009030,041.93,Team Sports,Baseball,St. Petersburg,Florida,credit
00050336,11-18-2011,4008367,023.79,Exercise & Fitness,Exercise Balls,Hartford,Connecticut,credit
00050337,05-09-2011,4006491,160.89,Outdoor Play Equipment,Outdoor Playsets,Orlando,Florida,credit
00050338,06-14-2011,4004382,053.48,Water Sports,Surfing,Boise,Idaho,credit
00050339,12-17-2011,4007165,160.07,Exercise & Fitness,Exercise Balls,McKinney,Texas,credit
00050340,04-28-2011,4001682,171.48,Gymnastics,Vaulting Horses,Pasadena,California,credit
00050341,08-29-2011,4008530,068.19,Outdoor Recreation,Hunting,Cincinnati,Ohio,credit
00050342,07-29-2011,4003474,035.75,Puzzles,Jigsaw Puzzles,Huntsville,Alabama,cash
00050343,03-29-2011,4009388,191.23,Team Sports,Team Handball,Boise,Idaho,credit
00050344,01-19-2011,4007041,105.06,Exercise & Fitness,Free Weight Bars,Orange,California,credit
00050345,04-14-2011,4009822,019.86,Team Sports,Rugby,Irving,Texas,cash
00050346,11-02-2011,4001430,046.56,Exercise & Fitness,Gym Mats,Scottsdale,Arizona,cash
00050347,10-24-2011,4003234,021.24,Water Sports,Bodyboarding,Cincinnati,Ohio,cash
00050348,02-15-2011,4008269,039.87,Air Sports,Air Suits,Springfield,Illinois,cash
00050349,07-06-2011,4001747,049.72,Winter Sports,Sledding,McKinney,Texas,cash
00050350,01-11-2011,4007950,126.55,Outdoor Recreation,Archery,Coral Springs,Florida,credit
00050351,01-11-2011,4002149,186.89,Outdoor Recreation,Skating,Milwaukee,Wisconsin,credit
00050352,05-06-2011,4006796,079.01,Exercise & Fitness,Weight Benches,Pasadena,Texas,credit
00050353,05-11-2011,4002221,049.74,Indoor Games,Billiards,Boise,Idaho,cash
00050354,03-13-2011,4003033,008.20,Games,Dice Games,Denton,Texas,cash
00050355,11-23-2011,4006249,017.52,Water Sports,Whitewater Rafting,Charleston,South Carolina,cash
00050356,04-18-2011,4003220,039.82,Games,Card Games,Austin,Texas,cash
00050357,06-30-2011,4002163,136.54,Outdoor Play Equipment,Slides,Overland Park,Kansas,credit
00050358,01-24-2011,4000955,136.96,Winter Sports,Cross-Country Skiing,Santa Ana,California,credit
00050359,08-31-2011,4009303,073.84,Outdoor Recreation,Running,Irvine,California,credit
00050360,07-10-2011,4007837,153.26,Water Sports,Windsurfing,Columbia,Missouri,credit
00050361,10-04-2011,4008002,024.70,Water Sports,Wetsuits,Miami,Florida,cash
00050362,01-20-2011,4009429,036.23,Exercise & Fitness,Jump Ropes,Atlanta,Georgia,cash
00050363,08-22-2011,4005828,164.10,Water Sports,Scuba Diving & Snorkeling,Dayton,Ohio,credit
00050364,03-20-2011,4003228,192.33,Winter Sports,Cross-Country Skiing,Omaha,Nebraska,credit
00050365,06-24-2011,4009763,136.55,Outdoor Recreation,Disc Golf,Cambridge,Massachusetts,credit
00050366,04-02-2011,4001759,027.66,Outdoor Recreation,Shooting Games,Hartford,Connecticut,cash
00050367,01-05-2011,4007214,159.39,Games,Card Games,Anaheim,California,credit
00050368,06-11-2011,4004676,114.66,Racquet Sports,Tennis,Phoenix,Arizona,credit
00050369,03-22-2011,4007370,064.19,Exercise & Fitness,Gym Mats,Midland,Texas,credit
00050370,07-24-2011,4002993,178.23,Outdoor Play Equipment,Water Tables,Alexandria  ,Virginia,credit
00050371,01-27-2011,4001130,013.60,Outdoor Recreation,Deck Shuffleboard,Omaha,Nebraska,cash
00050372,04-11-2011,4003301,114.11,Outdoor Recreation,Deck Shuffleboard,Jacksonville ,Florida,credit
00050373,08-14-2011,4002727,099.55,Water Sports,Kitesurfing,Boise,Idaho,credit
00050374,12-23-2011,4004296,148.99,Team Sports,Team Handball,Newark,New Jersey,credit
00050375,12-19-2011,4007436,134.62,Games,Mahjong,Kansas City,Missouri,credit
00050376,08-07-2011,4002441,007.33,Outdoor Play Equipment,Outdoor Playsets,Louisville,Kentucky,cash
00050377,09-08-2011,4001190,059.22,Outdoor Recreation,Track & Field,Houston,Texas,credit
00050378,07-25-2011,4009860,072.47,Outdoor Recreation,Tetherball,Chicago,Illinois,credit
00050379,12-26-2011,4002739,151.90,Team Sports,Beach Volleyball,Jersey City,New Jersey,credit
00050380,07-06-2011,4003547,113.02,Indoor Games,Bowling,Minneapolis,Minnesota,credit
00050381,05-14-2011,4009384,035.66,Exercise & Fitness,Stopwatches,Huntsville,Alabama,cash
00050382,05-15-2011,4008296,116.52,Jumping,Trampolines,McKinney,Texas,credit
00050383,08-05-2011,4005482,146.35,Outdoor Recreation,Ice Climbing,Montgomery,Alabama,credit
00050384,07-01-2011,4006362,024.89,Water Sports,Surfing,Seattle,Washington,cash
00050385,02-02-2011,4005660,031.85,Winter Sports,Bobsledding,El Paso,Texas,cash
00050386,11-26-2011,4005470,071.60,Outdoor Recreation,Golf,Miami,Florida,credit
00050387,07-08-2011,4000730,151.49,Team Sports,Rugby,Charlotte,North Carolina,credit
00050388,06-28-2011,4004643,163.63,Outdoor Recreation,Skateboarding,Westminster,Colorado,credit
00050389,11-16-2011,4003737,101.03,Outdoor Recreation,Shooting Games,Denton,Texas,credit
00050390,03-28-2011,4001885,181.33,Team Sports,Basketball,Sacramento,California,credit
00050391,08-16-2011,4006850,060.66,Exercise & Fitness,Yoga & Pilates,Berkeley,California,credit
00050392,12-28-2011,4008497,178.21,Exercise & Fitness,Weightlifting Machine Accessories,Oakland,California,credit
00050393,09-12-2011,4009892,118.39,Outdoor Recreation,Running,Orlando,Florida,credit
00050394,12-26-2011,4001226,132.78,Gymnastics,Gymnastics Rings,Paterson,New Jersey,credit
00050395,12-12-2011,4004076,167.51,Water Sports,Windsurfing,Columbia,South Carolina,credit
00050396,03-24-2011,4006912,078.56,Jumping,Jumping Stilts,Anaheim,California,credit
00050397,01-01-2011,4002035,160.84,Winter Sports,Downhill Skiing,Columbus,Ohio,credit
00050398,10-13-2011,4002621,037.95,Water Sports,Boating,West Valley City,Utah,cash
00050399,10-12-2011,4001541,032.52,Racquet Sports,Tennis,Columbus,Georgia,cash
00050400,01-24-2011,4009154,153.97,Combat Sports,Boxing,Overland Park,Kansas,credit
00050401,10-14-2011,4000018,085.69,Gymnastics,Pommel Horses,Columbus,Georgia,credit
00050402,10-11-2011,4002798,021.42,Gymnastics,Gymnastics Protective Gear,Seattle,Washington,credit
00050403,09-22-2011,4000932,150.63,Outdoor Play Equipment,Lawn Water Slides,Omaha,Nebraska,credit
00050404,03-21-2011,4004993,145.15,Games,Dice & Dice Sets,Orange,California,credit
00050405,02-03-2011,4001054,028.38,Outdoor Recreation,Track & Field,St. Petersburg,Florida,credit
00050406,10-20-2011,4008739,006.75,Indoor Games,Billiards,New Orleans,Louisiana,credit
00050407,07-27-2011,4003788,085.05,Outdoor Play Equipment,Lawn Water Slides,Washington,District of Columbia,credit
00050408,08-31-2011,4009592,022.77,Games,Portable Electronic Games,Salt Lake City,Utah,credit
00050409,07-09-2011,4007848,093.54,Exercise & Fitness,Stopwatches,Bellevue,Washington,credit
00050410,10-09-2011,4003398,134.73,Outdoor Recreation,Riding Scooters,Chicago,Illinois,credit
00050411,12-22-2011,4009792,059.45,Racquet Sports,Tennis,Omaha,Nebraska,credit
00050412,11-09-2011,4001091,180.73,Gymnastics,Pommel Horses,Vancouver,Washington,credit
00050413,04-14-2011,4006074,167.60,Exercise & Fitness,Weightlifting Gloves,Oakland,California,credit
00050414,08-01-2011,4004590,021.13,Games,Dice & Dice Sets,Las Vegas,Nevada,credit
00050415,05-26-2011,4009034,155.47,Outdoor Play Equipment,Playhouses,Springfield,Illinois,credit
00050416,08-07-2011,4003548,164.58,Indoor Games,Darts,Jacksonville ,Florida,credit
00050417,04-23-2011,4002432,175.22,Gymnastics,Vaulting Horses,Lexington,Kentucky,credit
00050418,08-30-2011,4001389,154.87,Outdoor Recreation,Riding Scooters,Detroit,Michigan,credit
00050419,01-09-2011,4002187,019.06,Outdoor Recreation,Skateboarding,Pittsburgh,Pennsylvania,credit
00050420,10-20-2011,4008871,078.46,Winter Sports,Snowshoeing,Houston,Texas,credit
00050421,01-16-2011,4003382,160.41,Outdoor Recreation,Shooting Games,Alexandria  ,Virginia,credit
00050422,10-28-2011,4006750,088.71,Team Sports,Cheerleading,Salt Lake City,Utah,credit
00050423,03-17-2011,4009842,163.85,Games,Poker Chips & Sets,Louisville,Kentucky,credit
00050424,07-30-2011,4006350,192.68,Outdoor Recreation,Camping & Backpacking & Hiking,Alexandria  ,Virginia,credit
00050425,01-29-2011,4001256,051.62,Team Sports,Cricket,Washington,District of Columbia,credit
00050426,08-31-2011,4003478,005.24,Outdoor Recreation,Cycling,Dayton,Ohio,credit
00050427,09-17-2011,4002373,005.98,Team Sports,Soccer,Honolulu  ,Hawaii,credit
00050428,02-04-2011,4005301,089.62,Team Sports,Softball,San Antonio,Texas,credit
00050429,01-23-2011,4005035,088.80,Outdoor Play Equipment,Water Tables,McKinney,Texas,credit
00050430,03-18-2011,4008418,094.54,Exercise & Fitness,Medicine Balls,Milwaukee,Wisconsin,credit
00050431,12-12-2011,4003494,099.02,Outdoor Recreation,Rock Climbing,Pasadena,Texas,credit
00050432,11-27-2011,4001642,021.55,Air Sports,Hang Gliding,Springfield,Illinois,credit
00050433,02-21-2011,4005648,163.36,Gymnastics,Gymnastics Mats,San Antonio,Texas,credit
00050434,10-15-2011,4002563,027.25,Games,Dice & Dice Sets,Jacksonville ,Florida,credit
00050435,07-06-2011,4000493,053.61,Outdoor Recreation,Fishing,Colorado Springs,Colorado,credit
00050436,01-23-2011,4004515,111.62,Exercise & Fitness,Medicine Balls,Columbus,Georgia,credit
00050437,11-13-2011,4006845,085.25,Games,Poker Chips & Sets,Cleveland,Ohio,credit
00050438,06-23-2011,4009423,178.02,Exercise & Fitness,Stopwatches,Berkeley,California,credit
00050439,08-28-2011,4001185,165.45,Indoor Games,Darts,Clarksville,Tennessee,credit
00050440,06-15-2011,4009395,032.27,Outdoor Recreation,Skateboarding,Baltimore,Maryland,credit
00050441,08-26-2011,4003386,174.08,Exercise & Fitness,Gym Mats,Huntsville,Alabama,credit
00050442,06-29-2011,4007976,073.69,Combat Sports,Wrestling,Centennial,Colorado,credit
00050443,09-12-2011,4005445,070.87,Games,Bingo Sets,Columbia,Missouri,credit
00050444,05-06-2011,4009428,030.33,Combat Sports,Boxing,Springfield,Illinois,cash
00050445,09-05-2011,4008320,179.26,Outdoor Recreation,Geocaching,San Francisco,California,credit
00050446,02-09-2011,4009264,038.88,Outdoor Recreation,Skateboarding,Midland,Texas,cash
00050447,11-21-2011,4006433,107.83,Gymnastics,Gymnastics Protective Gear,Columbia,Missouri,credit
00050448,11-07-2011,4000046,068.31,Team Sports,Curling,Brownsville,Texas,credit
00050449,11-08-2011,4009608,021.58,Exercise & Fitness,Medicine Balls,Hartford,Connecticut,cash
00050450,07-05-2011,4007661,188.43,Winter Sports,Snowmobiling,Berkeley,California,credit
00050451,02-22-2011,4007466,170.64,Indoor Games,Foosball,Pittsburgh,Pennsylvania,credit
00050452,07-24-2011,4002979,093.36,Team Sports,Cheerleading,San Francisco,California,credit
00050453,05-21-2011,4007045,080.93,Jumping,Jumping Stilts,Sunnyvale,California,credit
00050454,01-07-2011,4004721,061.51,Gymnastics,Gymnastics Mats,Cambridge,Massachusetts,credit
00050455,10-05-2011,4003242,194.73,Indoor Games,Billiards,Irving,Texas,credit
00050456,01-27-2011,4001069,162.95,Outdoor Recreation,Camping & Backpacking & Hiking,Everett,Washington,credit
00050457,07-21-2011,4003706,062.67,Exercise & Fitness,Weightlifting Machines,Pasadena,Texas,credit
00050458,10-13-2011,4002110,131.16,Exercise & Fitness,Gym Mats,Fremont,California,credit
00050459,06-09-2011,4000408,113.36,Team Sports,Team Handball,Omaha,Nebraska,credit
00050460,06-01-2011,4005321,145.45,Games,Poker Chips & Sets,Springfield,Illinois,credit
00050461,09-12-2011,4002786,151.71,Team Sports,Field Hockey,Santa Ana,California,credit
00050462,10-25-2011,4005292,175.65,Exercise & Fitness,Medicine Balls,Sacramento,California,credit
00050463,12-13-2011,4008608,150.55,Outdoor Recreation,Geocaching,Everett,Washington,credit
00050464,11-04-2011,4002237,098.60,Outdoor Recreation,Riding Scooters,Columbia,South Carolina,credit
00050465,07-15-2011,4007675,025.81,Indoor Games,Darts,Sacramento,California,cash
00050466,10-14-2011,4008926,124.31,Gymnastics,Vaulting Horses,Lincoln,Nebraska,credit
00050467,06-01-2011,4008910,029.65,Team Sports,Team Handball,Phoenix,Arizona,cash
00050468,04-30-2011,4009778,115.12,Air Sports,Air Suits,Alexandria  ,Virginia,credit
00050469,11-02-2011,4000299,181.10,Winter Sports,Cross-Country Skiing,St. Petersburg,Florida,credit
00050470,07-19-2011,4002309,024.92,Gymnastics,Gymnastics Rings,Plano,Texas,cash
00050471,04-20-2011,4008018,174.56,Games,Mahjong,Birmingham,Alabama,credit
00050472,07-22-2011,4002627,016.70,Jumping,Pogo Sticks,Bellevue,Washington,cash
00050473,11-23-2011,4008689,044.85,Outdoor Recreation,Geocaching,Oklahoma City,Oklahoma,cash
00050474,09-18-2011,4004140,178.46,Team Sports,Team Handball,Cleveland,Ohio,credit
00050475,04-28-2011,4007327,149.91,Games,Dominoes,Clarksville,Tennessee,credit
00050476,11-04-2011,4006020,096.07,Exercise & Fitness,Stopwatches,Houston,Texas,credit
00050477,04-22-2011,4003004,046.60,Water Sports,Boating,Atlanta,Georgia,cash
00050478,01-04-2011,4007354,163.87,Team Sports,Curling,Jacksonville ,Florida,credit
00050479,12-02-2011,4007990,043.99,Water Sports,Water Polo,St. Louis  ,Missouri,cash
00050480,08-02-2011,4008933,056.09,Air Sports,Parachutes,Oakland,California,credit
00050481,06-24-2011,4000395,075.63,Exercise & Fitness,Cardio Machine Accessories,Pittsburgh,Pennsylvania,credit
00050482,03-30-2011,4003386,080.79,Combat Sports,Martial Arts,Phoenix,Arizona,credit
00050483,02-27-2011,4003336,047.39,Gymnastics,Gymnastics Protective Gear,Baltimore,Maryland,cash
00050484,06-03-2011,4004158,170.30,Winter Sports,Cross-Country Skiing,San Antonio,Texas,credit
00050485,08-03-2011,4006803,143.37,Exercise & Fitness,Medicine Balls,Durham,North Carolina,credit
00050486,12-21-2011,4003136,152.68,Gymnastics,Springboards,St. Petersburg,Florida,credit
00050487,12-18-2011,4009898,147.10,Outdoor Recreation,Tetherball,Tampa,Florida,credit
00050488,03-21-2011,4005312,166.04,Water Sports,Bodyboarding,Sunnyvale,California,credit
00050489,11-16-2011,4002399,091.08,Outdoor Play Equipment,Slides,Orange,California,credit
00050490,11-26-2011,4008453,035.39,Winter Sports,Bobsledding,Bellevue,Washington,cash
00050491,12-10-2011,4005994,094.99,Indoor Games,Air Hockey,Newark,New Jersey,credit
00050492,05-10-2011,4001803,168.62,Team Sports,Softball,Newark,New Jersey,credit
00050493,11-21-2011,4003675,103.35,Games,Dice & Dice Sets,Vancouver,Washington,credit
00050494,01-05-2011,4006575,192.32,Indoor Games,Air Hockey,Buffalo,New York,credit
